School Name,City,Country,URL
Ecole Oasis Internationale,Cairo,Egypt,
Egypt British International School,Cairo,Egypt,
Egypt British International School (EBIS),Cairo,Egypt,
El Alsson British & American International School,Cairo,Egypt,
El Alsson British International School,Cairo,Egypt,
El Gouna International School,Red Sea,Egypt,
Elm International School,Alexandria,Egypt,
Elwy International School,Cairo,Egypt,
English School Beverly Hills Cairo,Cairo,Egypt,
Ethos International School,Sheikh Zayed City,Egypt,
Europa-Schule Kairo,Cairo,Egypt,
Evolution International School,Cairo,Egypt,
Gateway International Montessori School,Cairo,Egypt,
Global Paradigm International School,Cairo,Egypt,
Green Land International Schools,Cairo,Egypt,
Green Land Pré Vert International Schools- GPIS Giza/Zayed,,Egypt,
Hayah International Academy,Cairo,Egypt,
Heritage International School,Cairo,Egypt,
International British School of Alexandria,Alexandria,Egypt,
International Nermien Ismail School (2),,Egypt,
International New Future School Neue Deutsche Schule Alexandria,,Egypt,
International School of Elite Education,Cairo,Egypt,
Kipling School,Cairo,Egypt,
Leaders International College,Cairo,Egypt,
Lycée Albert Camus,Cairo,Egypt,
Lycée Francais du Caire,Cairo,Egypt,
Lycée International Balzac,Cairo,Egypt,
Maadi British International School,Cairo,Egypt,
Maadi Narmer School,Cairo,Egypt,
Maharat S.U.P.E.R. Global British School of Egypt,Cairo,Egypt,
Malvern College Egypt,Cairo,Egypt,
Manaret Heliopolis International School,Cairo,Egypt,
Manchester International School,Cairo,Egypt,
Menese International School,Cairo,Egypt,
Metropolitan School,Cairo,Egypt,
Modern Education Schools,Cairo,Egypt,
Modern English School Cairo,Cairo,Egypt,
Modern School of Egypt 2000,Cairo,Egypt,
NCBIS - New Cairo British International School,Cairo,Egypt,
Narmer American College,Cairo,Egypt,
Nefertari International School,Cairo,Egypt,
"Nefertari International School, October, Egypt",6 October City,Egypt,
New Cairo British International School,Cairo,Egypt,
New Generation International School,Cairo,Egypt,
New Horizon International School,Cairo,Egypt,
New Vision International School,Cairo,Egypt,
New Vision International School Giza,,Egypt,
Nile International College,Cairo,Egypt,
Notion International School,Cairo,Egypt,
Oasis International School,Cairo,Egypt,
Pakistan International School Cairo,Cairo,Egypt,
Rahn Schulen Kairo,Cairo,Egypt,
SKILLS,Cairo,Egypt,
Salahaldin International School,Cairo,Egypt,
Sama American School,Cairo,Egypt,
Sun of Knowledge British International School,Cairo,Egypt,
The British International School Cairo,,Egypt,
The British International School Madinaty,Cairo,Egypt,
The British School Al Rehab,Cairo,Egypt,
The British School Madinaty,Madinaty,Egypt,
The British School in Cairo,Cairo,Egypt,
The British School of Alexandria,,Egypt,
The British School of Egypt,Cairo,Egypt,
"The British School, Al-Rehab",Cairo,Egypt,
"The British School, Alexandria",Alexandria,Egypt,
The Egyptian International School in El Marag,,Egypt,
The International School of Choueifat - Cairo,Cairo,Egypt,
The International School of Choueifat - City of 6 October,Cairo,Egypt,
The International School of Choueifat Cairo,Cairo,Egypt,
The International School of Egypt,Cairo,Egypt,
Windrose Academy,Cairo,Egypt,
Academia BritÃ¡nica Cuscatleca,Santa Tecla,El Salvador,
Colegio Internacional,San Salvador,El Salvador,
Escuela Americana,San Salvador,El Salvador,
Escuela Panamericana,San Salvador,El Salvador,
Asmara International Community School,,Eritrea,
Audentes International School,,Estonia,
International Education Association of Estonia MTÃœ,,Estonia,
International School of Estonia,Tallinn,Estonia,
International School of Tallinn,,Estonia,
Tallinn English College,,Estonia,
Tartu International School,,Estonia,
Andinet International School,Addis Ababa,Ethiopia,
British International School,Addis Ababa,Ethiopia,
Cambridge Academy Ethiopia,Addis Ababa,Ethiopia,
Flipper International School,Addis Ababa,Ethiopia,
German Embassy School Addis Ababa,Addis Ababa,Ethiopia,
Greek Community School,Addis Ababa,Ethiopia,
Intellectual Schools,Addis Ababa,Ethiopia,
International Community School of Addis Ababa,Addis Ababa,Ethiopia,
Kelem International School,Addis Ababa,Ethiopia,
Lycée Guébré-Mariam,Addis Ababa,Ethiopia,
One Planet International School,Addis Ababa,Ethiopia,
Reach International Center of Education,Addis Ababa,Ethiopia,
School of Nations,Addis Ababa,Ethiopia,
Swedish Community School Addis Ababa,Addis Ababa,Ethiopia,
International School Suva,,Fiji,
Espoo International School,,Finland,
International School of Helsinki,,Finland,
American School of Grenoble,Grenoble,France,
American School of Paris,Paris,France,
Bordeaux International School,Bordeaux,France,
Canadian Bilingual School of Paris,Paris,France,
Collége Sévigné,Paris,France,
Concordia School,Paris,France,
Cours Molière - International School,Paris,France,
EBICA International School,,France,
EIB de La Jonchère,Paris,France,
Ecole Privée Bilingue Internationale,,France,
Ermitage International School of France,Paris,France,
Eurécole,Paris,France,
German School of Paris,Paris,France,
International Bilingual School of Provence,,France,
International School of Lyon,,France,
International School of Nice,,France,
International School of Toulouse,Colomiers,France,
Kingsworth International School,Paris,France,
Lab School Paris,Paris,France,
Lycée International - American Section,Paris,France,
Lycée International - British Section,Paris,France,
Marymount International School Paris,Paris,France,
Notre Dame International High School,Paris,France,
RISE International School,Paris,France,
SIS School Paris - Ouest,Paris,France,
Sainte Victoire International School,,France,
The Bilingual Montessori School of Paris,Paris,France,
The British School of Paris,Paris,France,
The International School of Toulouse,,France,
Wi School,Paris,France,
École Galilée,Paris,France,
American International School of Libreville,Libreville,Gabon,
Ecole Ruban Vert International School of Gabon,Libreville,Gabon,
"Ecole Ruban Vert, International School of Gabon",Libreville,Gabon,
International School of Gabon Ruban Vert,LIBREVILLE,Gabon,
LycÃ©e Franco-Britannique Ecole Internationale,,Gabon,
The International School of Gabon Ruban Vert,,Gabon,
Banjul American Internatonal School,Fajara,Gambia,
Marina International School,Banjul,Gambia,
Shiloh Billingual Education Centre International School,Serrekunda,Gambia,
British International School of Tbilisi,Tbilisi,Georgia,
Deutsche Internationale Schule Tbilissi,Tbilisi,Georgia,
Finnish International School Georgia,Tbilisi,Georgia,
Georgian-American School Progress,Tbilisi,Georgia,
New School International School of Georgia,Tbilisi,Georgia,
The Guivy Zaldastanishvili American Academy in Tbilisi,Tbilisi,Georgia,
BBIS Berlin Brandenburg International School,Kleinmachnow,Germany,
Bavarian International School,Munich,Germany,
Bavarian International School gAG,,Germany,
Berlin Bilingual School,Berlin,Germany,
Berlin Brandenburg International School,Berlin,Germany,
Berlin British School,Berlin,Germany,
Berlin British School gGmbH,,Germany,
Berlin Cosmopolitan School,Berlin,Germany,
Berlin International School,Berlin,Germany,
Bonn International School,,Germany,
Bonn International School e.V.,Bonn,Germany,
Charles Dickens Primary School Berlin,Berlin,Germany,
Cologne International School,,Germany,
Dresden International School,Dresden,Germany,
Dresden International School gGmbH,,Germany,
Fintosch,Frankfurt Am Main,Germany,
Franconian International School,,Germany,
Frankfurt International School,Frankfurt Am Main,Germany,
Frankfurt International School Wiesbaden Campus,,Germany,
Freie Schule Anne-Sophie Berlin,Berlin,Germany,
Heidelberg International School,Heidelberg,Germany,
ISR International School on the Rhine,,Germany,
Independent Bonn International School,Bonn,Germany,
International Bilingual School Munich,Munich,Germany,
International Kids Campus,,Germany,
International School Campus,Hamburg,Germany,
International School Hannover Region,Hannover,Germany,
International School Ruhr,,Germany,
International School Ulm,Neu-Ulm,Germany,
International School of Augsburg,,Germany,
International School of Braunschweig-Wolfsburg,,Germany,
International School of Dusseldorf,,Germany,
International School of Hamburg,Hamburg,Germany,
International School of Stuttgart,,Germany,
International School of Ulm/Neu-Ulm Management GmbH,,Germany,
Jan Amos Comenius Grundschule,Munich,Germany,
John F. Kennedy School Berlin,Berlin,Germany,
Jules Verne Campus,Munich,Germany,
Leipzig International School,,Germany,
Leipzig International School e.V,Leipzig,Germany,
Lycée Francais Victor Hugo,Frankfurt Am Main,Germany,
Lycée Francais de Berlin,Berlin,Germany,
Metropolitan International School,,Germany,
Metropolitan School Frankfurt,Frankfurt Am Main,Germany,
Moderne Schule Hamburg,Hamburg,Germany,
Nelson Mandela State International School Berlin,,Germany,
Obermayr International School,Frankfurt Am Main,Germany,
Obermenzinger Gymnasium,Munich,Germany,
Phorms Bilingual School Berlin-Mitte,Berlin,Germany,
Phorms Bilingual School Berlin-Süd,Berlin,Germany,
Phorms Bilingual School Frankfurt,Frankfurt Am Main,Germany,
Phorms Bilingual School Hamburg,Hamburg,Germany,
Phorms Bilingual School Munich,Munich,Germany,
Quentin Blake Europe School,Berlin,Germany,
SIS Swiss International School Berlin,,Germany,
SIS Swiss International School Stuttgart-Fellbach,,Germany,
Schuldorf Bergstrasse / State International School Seeheim Jugenheim,,Germany,
St George's The British International School Munich,Munich,Germany,
St. George's International School Cologne,Cologne,Germany,
"St. George's School, The British International School",Munich,Germany,
St. George's The British International School Cologne,,Germany,
St. George's The British International School Duisburg-Düsseldorf,,Germany,
Swedish School in Berlin,Berlin,Germany,
Swiss International School - Berlin,Berlin,Germany,
Swiss International School Frankfurt,Frankfurt Am Main,Germany,
The Erasmus Frankfurter City School,Frankfurt Am Main,Germany,
"The International School Stuttgart, Sindelfingen Campus",,Germany,
Thuringia International School,Weimar,Germany,
Thuringia International School Weimar,Weimar,Germany,
École Voltaire,Berlin,Germany,
Al-Rayan International School,,Ghana,
Association International School,,Ghana,
Aves International Academy,,Ghana,
Ghana International School,Accra,Ghana,
International Community School-Ghana,Kumasi,Ghana,
International School of Ahafo,Kenyase,Ghana,
Learning Skills International School,,Ghana,
Lincoln Community School,Accra,Ghana,
Morgan International Community School,,Ghana,
SOS-Hermann Gmeiner International College,,Ghana,
Safari International Preschool,Accra,Ghana,
Sos-Hermann Gmeiner International College,Tema,Ghana,
Tema International School,,Ghana,
Three Bears International School,Accra,Ghana,
Prior Park School,Old Town,Gibraltar,
ACS Athens (American Community Schools),Athens,Greece,
American Community Schools of Athens,,Greece,
Athens College,Athens,Greece,
Byron College,Athens,Greece,
Byron College - The British International School,Athens,Greece,
Campion School,Athens,Greece,
DES Primary School (European Interactive School),Athens,Greece,
DES primary school (Interactive European School),,Greece,
Deutsche Schule Athen,Athens,Greece,
Doukas School,Athens,Greece,
Geitonas School,Athens,Greece,
International School of Athens,Athens,Greece,
International School of Piraeus,Athens,Greece,
Lycée Franco-Hellénique Eugene Delacroix,Athens,Greece,
Pierce - The American College of Greece,Athens,Greece,
Pinewood School of Thessaloniki,Thessaloniki,Greece,
Platon School,Athens,Greece,
Scuola Statale Italiana di Atene,Athens,Greece,
St Catherine's British School,Athens,Greece,
St Lawrence College - The British School In Greece,Varkiza Attki,Greece,
St. Catherine's British School,Athens,Greece,
St. Lawrence College - The British School in Greece,Athens,Greece,
"The American College of Greece, PIERCE",,Greece,
Verita International School,Athens,Greece,
American School of Guatemala,San Jose,Guatemala,
Christian Academy of Guatemala,Ciudad San CristÃ³ba,Guatemala,
Colegio Han Al Americano,Guatemala,Guatemala,
Colegio Interamericano,Guatemala,Guatemala,
Colegio Internacional SEK Guatemala,Guatemala,Guatemala,
Colegio Maya,Guatemala,Guatemala,
Robert Muller Life School,Panajachel,Guatemala,
American International School of Conakry,Conakry,Guinea,
The American International School of Conakry,Conakry,Guinea,
Quisqueya Christian School,Port-au-Prince,Haiti,
Union School,Port-au-Prince,Haiti,
Bay Islands International School,Sandy Bay,Honduras,
Discovery School,Tegucigalpa,Honduras,
Happy Days School & Freedom High School,San Pedro Sula,Honduras,
Happy Days School Freedom High School,San Pedro Sula,Honduras,
International School of Tegucigalpa,Tegucigalpa,Honduras,
Mayatan Bilingual School,CopÃ¡n,Honduras,
Mazapan School,La Ceiba,Honduras,
The American School of Tegucigalpa,,Honduras,
Western International School of Honduras,CopÃ¡n,Honduras,
American International School Hong Kong,,Hong Kong,
American School Hongkong,,Hong Kong,
Chinese International School Hong Kong,Hong Kong (SAR),Hong Kong,
ESF Abacus International Kindergarten,,Hong Kong,
ESF International Kindergarten (Tsing Yi),,Hong Kong,
ESF International Kindergarten - Hillside,,Hong Kong,
Galilee International School,Hong Kong,Hong Kong,
International Christian School - Hong Kong,,Hong Kong,
International College Hong Kong (NT),Hong Kong,Hong Kong,
International College Hong Kong Hong Lok Yuen,,Hong Kong,
"International College Hong Kong, Hong Lok Yuen",Hong Kong (SAR),Hong Kong,
"Kiangsu-Chekiang College, International Section",,Hong Kong,
Kingston International Kindergarten,,Hong Kong,
Malvern College Hong Kong,New Territories,Hong Kong,
Parkview International Pre-School (Kowloon),,Hong Kong,
Stamford American School-Hong Kong,Hong Kong,Hong Kong,
The Independent Schools Foundation Academy,Hong Kong,Hong Kong,
Think International,Hong Kong,Hong Kong,
Tsing Yi International Kindergarten,Hong Kong,Hong Kong,
Tung Chung International Kindergarten,Hong Kong,Hong Kong,
Victoria (Homantin) International Nursery,,Hong Kong,
Victoria (South Horizons) International Kindergarten,,Hong Kong,
Victoria Shanghai Academy,,Hong Kong,
Wu Kai Sha International Kindergarten,,Hong Kong,
Yew Chung Education Foundation Limited,Hong Kong,Hong Kong,
American International School of Budapest,Budapest,Hungary,
BME International Secondary Grammar School,Budapest,Hungary,
BME International Secondary School,,Hungary,
"Britannica International School, Budapest",Budapest,Hungary,
Deutsche Schule Budapest,Budapest,Hungary,
Greater Grace International School,Budapest,Hungary,
International Christian School of Budapest,Budapest,Hungary,
REAL School Budapest,Budapest,Hungary,
The British International School Budapest,Budapest,Hungary,
Ahmedabad International School,,India,
Akshar Arbol International School - ECR,,India,
Akshar Ãrbol International School,,India,
American Embassy School,,India,
American International School Chennai,Chennai,India,
American International School-Chennai,,India,
American School of Bombay,,India,
"Apeejay School International , South Delhi",,India,
Ascend International School,,India,
B.D.Somani International School,,India,
Bangalore International School,,India,
Billabong High International School Thane,,India,
Bloomingdale International School,,India,
Bombay International School,,India,
C P GOENKA INTERNATIONAL SCHOOL,,India,
Caledonian International School,,India,
Calorx Olive International School,,India,
Cambridge International Foundation School,,India,
Canadian International School Bangalore,,India,
Candor International School,,India,
Chinmaya International Vidyalaya,,India,
D Y Patil International College,,India,
"D Y Patil International School, Nerul",,India,
DPS International,,India,
DPSG International,,India,
DRS International School,,India,
DSB International School,,India,
Dhirubhai Ambani International School,,India,
Don Bosco International School,,India,
Ebenezer International School Bangalore,,India,
Ecole Mondiale World School,Mumbai,India,
Edubridge International School,,India,
Garodia International Centre for Learning,Mumbai,India,
"Garodia International Centre for Learning, Mumbai",,India,
Genesis Global School,Noida,India,
Glendale Academy,Hyderabad,India,
Glendale International School PYP,,India,
Heritage Xperiential Learning School,Gurgaon,India,
Hill Spring International School,,India,
Indus International School Hyderabad,,India,
"Indus International School, Bangalore",,India,
International Village School Chennai,,India,
"JBCN International School, Oshiwara",,India,
"JBCN International School, Parel",,India,
JG International School,,India,
Jain International Residential School,,India,
Jamnabai Narsee International School,,India,
Jayshree Periwal International School,,India,
KiiT International School,,India,
Kodaikanal International School,,India,
Kohinoor American School,,India,
Lalaji Memorial Omega International School,,India,
Lancers International School,,India,
Lucky International School,Jodhpur,India,
M.Ct.M.Chidambaram Chettyar International School,,India,
Mahatma Gandhi International School,,India,
Mahindra International School,,India,
Mainadevi Bajaj International School,,India,
Manchester International School - Coimbatore,,India,
Mody International School,,India,
Mount Litera School International,,India,
Mussoorie International School,,India,
NES International School Mumbai,,India,
NSS Hill Spring International School,,India,
Nahar International School,,India,
"Navrachana International School,Vadodara",,India,
Niraj International School,,India,
"Oakridge International School, Bachupally",Hyderabad,India,
"Oakridge International School, Bengaluru",Bangalore,India,
"Oakridge International School, Gachibowli",Hyderabad,India,
"Oakridge International School, Visakhapatnam",,India,
Oberoi International School,,India,
Pathways School Gurgaon,Gurgaon,India,
Pathways School Noida,Noida,India,
Pathways World School,"Gurgaon, Haryana",India,
Podar International School,,India,
Podar International School IB,Mumbai,India,
"Podar ORT International School, Worli",,India,
Queen Mira International School,Madurai,India,
RBK International Academy,,India,
Rasbihari International School,,India,
Redbridge international Academy,,India,
Rockwell International School,,India,
Rungta International School,,India,
SRV International School,,India,
Sanjay Ghodawat International School,,India,
Scottish High International School,,India,
Seedling International Academy,,India,
Shantiniketan International School,,India,
Sharanya Narayani International School,,India,
Silver Oaks International School Bangalore,,India,
Silver Oaks International School Visakhapatnam,,India,
"Silver Oaks International School, Hyderabad",,India,
Singapore International School Mumbai,Mumbai,India,
Sreenidhi International School,,India,
Stonehill International School,,India,
Strawberry Fields High School,Chandigarh,India,
Symbiosis International School,,India,
The British School,New Delhi,India,
The British School New Delhi,,India,
"The British School, New Delhi",New Delhi,India,
The International School Bangalore,Bangalore,India,
The Mahindra United World College of India,Pune,India,
Trivandrum International School,,India,
Woodstock School,Mussoorie,India,
aLphabet international school,,India,
École Mondiale World School,Mumbai,India,
ACG School Jakarta,Jakarta,Indonesia,
ACS Jakarta,Jakarta,Indonesia,
AIS Indonesia,Jakarta,Indonesia,
BTB School,Jakarta,Indonesia,
Bali Island School,,Indonesia,
Bandung Alliance Intercultural School,,Indonesia,
Bandung Independent School,,Indonesia,
Beacon Academy,Jakarta,Indonesia,
British School Jakarta,Jakarta,Indonesia,
Buah Hati & Cita Hati Schools,Surabaya,Indonesia,
Bunda Mulia School,Jakarta,Indonesia,
Canggu Community School,,Indonesia,
Cikal School,Jakarta,Indonesia,
El Shaddai Intercontinental School,Jakarta,Indonesia,
Elyon Christian School,Surabaya,Indonesia,
French School of Jakarta,Jakarta,Indonesia,
Gandhi Memorial International School,Jakarta,Indonesia,
Global Jaya School,Jakarta,Indonesia,
Global Sevilla School,Jakarta,Indonesia,
Godwins School,Surabaya,Indonesia,
Great Crystal School,Surabaya,Indonesia,
Green Montessori School,Jakarta,Indonesia,
Green School,Bali,Indonesia,
IPEKA Integrated Christian School,Jakarta,Indonesia,
Ichthus School,Jakarta,Indonesia,
Independent Schools of Riau,,Indonesia,
Intercultural School of Bogor,Jakarta,Indonesia,
Ivy School,Surabaya,Indonesia,
Jakarta Intercultural School,Jakarta,Indonesia,
Jakarta Multicultural School,Jakarta,Indonesia,
Jayakarta Montessori School,Jakarta,Indonesia,
Jogjakarta Community School,Yogyakarta,Indonesia,
Kharisma Bangsa School,Jakarta,Indonesia,
Mawar Sharon Christian School,Surabaya,Indonesia,
Medan Independent School,,Indonesia,
Mentari Intercultural School Jakarta,Jakarta,Indonesia,
Millennia World School,Jakarta,Indonesia,
Mt. Zaagkam School,,Indonesia,
Mutiara Harapan Islamic School,Jakarta,Indonesia,
Nord Anglia School Jakarta,Jakarta,Indonesia,
North Jakarta Intercultural School,Jakarta,Indonesia,
Raffles Christian School,Jakarta,Indonesia,
Regality Academy,Jakarta,Indonesia,
SIS Bona Vista,Jakarta,Indonesia,
SIS Kelapa Gading,Jakarta,Indonesia,
Saint Peter's School,Jakarta,Indonesia,
Sampoerna Academy,Jakarta,Indonesia,
Sampoerna Academy Surabaya,Surabaya,Indonesia,
Sekolah Ciputra,Surabaya,Indonesia,
Sekolah Cita Buana,Jakarta,Indonesia,
Sekolah Lentera Indonesia,Jakarta,Indonesia,
Sekolah Lentera Kasih,Bali,Indonesia,
Sekolah Nusa Alam,Mataram,Indonesia,
Sekolah Pelita Harapan,Jakarta,Indonesia,
Sekolah Perkumpulan Mandiri,Jakarta,Indonesia,
Sekolah Victory Plus,Jakarta,Indonesia,
Sinarmas World Academy,Jakarta,Indonesia,
Singapore Intercultural Schools,Jakarta,Indonesia,
Singapore National Academy,Surabaya,Indonesia,
Spins Interactional School,Surabaya,Indonesia,
Springfield School,Jakarta,Indonesia,
Stella Maris School,Jakarta,Indonesia,
Surabaya Cambridge School,Surabaya,Indonesia,
Surabaya European School,Surabaya,Indonesia,
Surabaya Intercultural School,Surabaya,Indonesia,
The Independent School of Jakarta,Jakarta,Indonesia,
The New Zealand Independent School,Jakarta,Indonesia,
Tunas Muda School,Jakarta,Indonesia,
Tzu Chi School,Jakarta,Indonesia,
Yogyakarta Independent School,Yogyakarta,Indonesia,
German Embassy School - International Section,,Iran,
Mehr-e-Taban International School,,Iran,
Tehran International School,,Iran,
Bilkent Erbil College,Kurdistan,Iraq,
Da Vinci School - International,,Iraq,
INTERNATIONAL MAARIF SCHOOLS ERBIL,,Iraq,
International College University School,,Iraq,
International Maarif Schools - Erbil,Erbil,Iraq,
International School of Choueifat – Erbil,Kurdistan,Iraq,
Stirling Education,Kurdistan,Iraq,
The International School of Choueifat – Dream City,Kurdistan,Iraq,
International School of Dublin,,Ireland,
SEK- Dublin International School,,Ireland,
St Andrew's College,Dublin,Ireland,
Sutton Park School,Dublin,Ireland,
Anglican International School Jerusalem,,Israel,
Eastern Mediterranean International School,,Israel,
Givat Haviva International School,,Israel,
Acorn House International,Rome,Italy,
Ambrit International School,Rome,Italy,
American School of Milan,Milan,Italy,
Andersen International School,Milan,Italy,
Bilingual European School,Milan,Italy,
Bloom International School,Milan,Italy,
Canadian School of Milan,Milan,Italy,
Children's Castle International,Rome,Italy,
Collegio San Carlo,Milan,Italy,
Deledda International School,,Italy,
Gonzaga Campus - International School Palermo,,Italy,
H-International School,,Italy,
H-International School Monza,Milan,Italy,
ICS International School,Milan,Italy,
ISE Kiddy English,Milan,Italy,
International Migrants School,Rome,Italy,
International School in Genoa,Genoa,Italy,
International School of Bergamo,,Italy,
International School of Bologna,,Italy,
International School of Brescia,Brescia,Italy,
International School of Como,,Italy,
International School of Florence,Florence,Italy,
International School of Modena,,Italy,
International School of Monza,Milan,Italy,
International School of Siena,,Italy,
International School of Talents – Multicampus,,Italy,
International School of Trieste,Trieste,Italy,
International School of Turin,,Italy,
International School of Verona,,Italy,
Little Genius International,Rome,Italy,
Lycée Stendhal Milan,Milan,Italy,
MILE School,Milan,Italy,
Marymount International School Rome,Rome,Italy,
Montessori Bilingual School of Milan,Milan,Italy,
O.M.C. - Collegio Vescovile Pio X International - Treviso,,Italy,
Ostia International School,Rome,Italy,
Rome International School,Rome,Italy,
Saint Francis International School,Rome,Italy,
Southlands International School,Rome,Italy,
St George's British International School,Rome,Italy,
"St George's British International School, Rome",Rome,Italy,
St Stephen's School Rome,Rome,Italy,
St. Joseph International College,Milan,Italy,
The British School of Milan,Milan,Italy,
The British School of Milan Srl,,Italy,
The English International School of Padua,,Italy,
The International School in Genoa,,Italy,
The New School Rome,Rome,Italy,
"The New School, Rome",Rome,Italy,
The Udine International School,Udine,Italy,
Vittoria International School,,Italy,
World International School of Torino,Turin,Italy,
World International School srl,,Italy,
ENKO JOHN WESLEY INTERNATIONAL SCHOOL,,Ivory Coast,
International Community School of Abidjan,,Ivory Coast,
LycÃ©e FranÃ§ais Blaise Pascal,Abidjan,Ivory Coast,
American International School of Kingston,,Jamaica,
Belair School,Mandeville,Jamaica,
AIE International High School,,Japan,
Abroad International School - Osaka,Osaka,Japan,
Abroad International School Osaka,Kyoto / Osaka / Kobe,Japan,
Aichi International School,Nagoya,Japan,
Aoba - Japan International School,Tokyo,Japan,
Aoba-Japan International School,Tokyo,Japan,
Ascot International School Japan,Kyoto / Osaka / Kobe,Japan,
Ashiya International School,Kyoto / Osaka / Kobe,Japan,
Axis International School,Tokyo,Japan,
Bunka Suginami Canadian International School,Tokyo,Japan,
Camelot International School,Tokyo,Japan,
Canadian Academy,Kyoto / Osaka / Kobe,Japan,
Canadian International School Tokyo,Tokyo,Japan,
"Chandra Sekhar Academy International School, Kyoto",Kyoto / Osaka / Kobe,Japan,
Chiyoda International School Tokyo,Tokyo,Japan,
Christian Academy in Japan,Tokyo,Japan,
Clarence International School,Tokyo,Japan,
Deutsche Schule Kobe International,Kyoto / Osaka / Kobe,Japan,
Deutsche Schule Tokyo Yokohama,Tokyo,Japan,
Doshisha International Academy Elementary School,,Japan,
Enishi International School,,Japan,
Fukuoka International School,,Japan,
Global Indian International School - Higashikasai Campus,,Japan,
"Global Indian International School, Tokyo",Tokyo,Japan,
Gregg International School,Tokyo,Japan,
Hiroshima International School,,Japan,
Hokkaido International School,,Japan,
India International School in Japan,Tokyo,Japan,
International School of the Sacred Heart,,Japan,
KAIS International ( KAIS and KAIS EMS),Tokyo,Japan,
KAIS International School,Tokyo,Japan,
Kanagawa Prefectural Yokohama Senior High School of International Studies,,Japan,
Kansai International Academy,,Japan,
Kansai International Academy Kobe Campus,Kobe,Japan,
Korea International School,,Japan,
Kyoto International University Academy,Kyoto / Osaka / Kobe,Japan,
L'École du Juste Milieu,Tokyo,Japan,
Laurus International School of Science,Tokyo,Japan,
Little Angels International School,Tokyo,Japan,
Lycée Francais International de Kyoto,Kyoto / Osaka / Kobe,Japan,
Lycée Francais International de Tokyo,Tokyo,Japan,
Makuhari International School,Tokyo,Japan,
Marist Brothers International School,Kyoto / Osaka / Kobe,Japan,
Nagoya International Junior and Senior High School,,Japan,
Nagoya International School,,Japan,
New International School of Japan,Tokyo,Japan,
Nishimachi International School,Tokyo,Japan,
Okinawa International School,,Japan,
One World International School Osaka,,Japan,
Osaka Gakugei Canadian International School,Kyoto / Osaka / Kobe,Japan,
Osaka International School,Kyoto / Osaka / Kobe,Japan,
Osaka International School of Kwansei Gakuin,,Japan,
Osaka YMCA International School,Kyoto / Osaka / Kobe,Japan,
Ritsumeikan Uji Junior and Senior High School,Kyoto / Osaka / Kobe,Japan,
Sai Sishya International School,,Japan,
Seisen International School,Tokyo,Japan,
Shinagawa International School,Tokyo,Japan,
St Mary's International School,Tokyo,Japan,
St Michael's International School,Kobe,Japan,
St. Mary's International School,Tokyo,Japan,
St. Marys International School,,Japan,
St. Michael's International School,Kyoto / Osaka / Kobe,Japan,
St. Michaels International School,,Japan,
Summerhill International School,,Japan,
Sunnyside International School,,Japan,
Tamagawa Academy (K12) and University,Tokyo,Japan,
The American School in Japan,Tokyo,Japan,
The British School In Tokyo,Tokyo,Japan,
The British School in Tokyo,Tokyo,Japan,
The Montessori School of Tokyo,Tokyo,Japan,
Tohoku International School,,Japan,
Tokyo Bay International School,Tokyo,Japan,
Tokyo Gakugei University International Secondary School,,Japan,
Tokyo International School,Tokyo,Japan,
UIA International School of Tokyo,Tokyo,Japan,
UPBEAT International School,,Japan,
United School of Tokyo,Tokyo,Japan,
Willowbrook International School,,Japan,
Yokohama Christian School,Tokyo,Japan,
Yokohama International School,Tokyo,Japan,
Yoyogi International School,Tokyo,Japan,
Al-Ra'ed Al-Arabi School,Amman,Jordan,
Amman Academy,Amman,Jordan,
Amman Baccalaureate School,Amman,Jordan,
Aqaba International School,,Jordan,
Asamiah International School,,Jordan,
British International Academy (BIA),,Jordan,
Canadian International School - Amman,,Jordan,
International Academy Amman,,Jordan,
Islamic Educational College,Amman,Jordan,
King's Academy,Manja,Jordan,
Modern Montessori School,Amman,Jordan,
The Ahliyyah School for Girls & Bishop's School for Boys,Amman,Jordan,
The International Academy Amman,Amman,Jordan,
The National Orthodox School Shmaisani,Amman,Jordan,
The New English School,Amman,Jordan,
The Orthodox Educational Society,Amman,Jordan,
Dostyk American International School (Kazakhstan),,Kazakhstan,
EtonHouse Kazakhstan International School,Aktau,Kazakhstan,
Galaxy International School,Almaty,Kazakhstan,
Haileybury Almaty,Almaty,Kazakhstan,
Haileybury Astana,Nur-Sultan / Astana,Kazakhstan,
"High Tech Academy, Almaty (21st Century School LLP)",Almaty,Kazakhstan,
"International College of Continuous Education, Almaty",Almaty,Kazakhstan,
"International College of Continuous Education, Astana",Nur-Sultan / Astana,Kazakhstan,
International School of Almaty,Almaty,Kazakhstan,
International School of Almaty of Nazarbaev Educational Fund,,Kazakhstan,
International School of Nur-Sultan,Nur-Sultan / Astana,Kazakhstan,
Kazakhstan International School,Almaty,Kazakhstan,
MIRAS International School in Almaty,Almaty,Kazakhstan,
Miras International School Almaty,Almaty,Kazakhstan,
Miras International School Astana,Nur-Sultan / Astana,Kazakhstan,
Miras International School Nur-Sultan,Nur-Sultan,Kazakhstan,
"Miras International School, Nur-Sultan",,Kazakhstan,
Nazarbayev Intellectual School of Chemistry and Biology in Aktau,Aktau,Kazakhstan,
